temperatura;int_arraial;dir_arraial;u_arraial;v_arraial;EkT_arraial;EkB_arraial;int_copa;dir_copa;u_copa;v_copa;EkT_copa;EkB_copa;elevacao
23.52;9.89;207.21;-8.8;-4.52;-0.25;0.35;2.58;175.36;-2.57;0.21;-0.07;0.95;-0.14
23.43;9.9;207.31;-8.8;-4.54;-0.25;0.37;2.55;175.89;-2.54;0.18;-0.07;0.92;-0.14
23.33;9.91;207.42;-8.8;-4.56;-0.25;0.39;2.52;176.42;-2.52;0.16;-0.07;0.88;-0.14
23.23;9.91;207.52;-8.79;-4.58;-0.25;0.4;2.49;176.97;-2.49;0.13;-0.07;0.85;-0.14
23.13;9.91;207.62;-8.78;-4.6;-0.25;0.42;2.47;177.52;-2.47;0.11;-0.07;0.82;-0.14
23.03;9.91;207.72;-8.77;-4.61;-0.25;0.44;2.44;178.07;-2.44;0.08;-0.07;0.78;-0.14
22.93;9.91;207.82;-8.76;-4.62;-0.25;0.45;2.42;178.62;-2.42;0.06;-0.07;0.75;-0.14
22.82;9.9;207.93;-8.75;-4.64;-0.25;0.47;2.4;179.17;-2.4;0.03;-0.07;0.71;-0.14
22.72;9.89;208.03;-8.73;-4.65;-0.25;0.49;2.38;179.72;-2.38;0.01;-0.07;0.68;-0.13
22.61;9.88;208.13;-8.71;-4.66;-0.25;0.51;2.37;180.26;-2.37;-0.01;-0.06;0.65;-0.13
22.51;9.87;208.24;-8.69;-4.67;-0.25;0.53;2.35;180.8;-2.35;-0.03;-0.06;0.62;-0.13
22.4;9.85;208.34;-8.67;-4.68;-0.25;0.55;2.34;181.33;-2.34;-0.05;-0.06;0.59;-0.13
22.29;9.84;208.45;-8.65;-4.69;-0.25;0.57;2.32;181.85;-2.32;-0.08;-0.06;0.57;-0.12
22.19;9.82;208.57;-8.63;-4.7;-0.25;0.59;2.31;182.36;-2.31;-0.1;-0.06;0.54;-0.12
22.08;9.8;208.68;-8.6;-4.7;-0.25;0.61;2.3;182.86;-2.3;-0.11;-0.06;0.52;-0.11
21.97;9.78;208.8;-8.57;-4.71;-0.25;0.63;2.29;183.35;-2.29;-0.13;-0.06;0.5;-0.11
21.86;9.76;208.92;-8.54;-4.72;-0.25;0.65;2.28;183.83;-2.28;-0.15;-0.06;0.49;-0.1
21.76;9.74;209.04;-8.51;-4.73;-0.25;0.67;2.27;184.29;-2.27;-0.17;-0.06;0.47;-0.1
21.65;9.71;209.17;-8.48;-4.73;-0.24;0.68;2.26;184.74;-2.25;-0.19;-0.06;0.46;-0.09
21.54;9.69;209.3;-8.45;-4.74;-0.24;0.7;2.25;185.17;-2.24;-0.2;-0.06;0.45;-0.09
21.44;9.66;209.44;-8.42;-4.75;-0.24;0.71;2.24;185.59;-2.23;-0.22;-0.06;0.45;-0.08
21.33;9.64;209.57;-8.38;-4.76;-0.24;0.72;2.23;186;-2.22;-0.23;-0.06;0.45;-0.08
21.23;9.61;209.71;-8.35;-4.76;-0.24;0.72;2.22;186.39;-2.21;-0.25;-0.06;0.45;-0.07
21.12;9.58;209.85;-8.31;-4.77;-0.24;0.73;2.21;186.76;-2.2;-0.26;-0.06;0.45;-0.06
21.02;9.55;209.99;-8.27;-4.78;-0.24;0.73;2.2;187.13;-2.18;-0.27;-0.06;0.45;-0.06
20.92;9.53;210.13;-8.24;-4.78;-0.24;0.73;2.19;187.47;-2.17;-0.28;-0.06;0.46;-0.05
20.82;9.5;210.27;-8.2;-4.79;-0.24;0.73;2.17;187.81;-2.15;-0.3;-0.06;0.47;-0.04
20.72;9.47;210.41;-8.16;-4.79;-0.24;0.72;2.16;188.13;-2.14;-0.31;-0.06;0.48;-0.04
20.62;9.44;210.55;-8.13;-4.8;-0.24;0.71;2.14;188.43;-2.12;-0.31;-0.06;0.49;-0.03
20.53;9.41;210.69;-8.09;-4.8;-0.24;0.7;2.12;188.72;-2.1;-0.32;-0.06;0.5;-0.02
20.44;9.38;210.82;-8.05;-4.8;-0.24;0.68;2.1;189;-2.07;-0.33;-0.06;0.51;-0.02
20.35;9.34;210.95;-8.01;-4.81;-0.24;0.66;2.08;189.26;-2.05;-0.33;-0.06;0.53;-0.01
20.26;9.31;211.07;-7.98;-4.81;-0.23;0.63;2.05;189.51;-2.03;-0.34;-0.06;0.54;0
20.18;9.28;211.18;-7.94;-4.8;-0.23;0.61;2.03;189.74;-2;-0.34;-0.06;0.56;0
20.1;9.25;211.29;-7.9;-4.8;-0.23;0.58;2;189.96;-1.97;-0.35;-0.05;0.57;0.01
20.02;9.21;211.39;-7.86;-4.8;-0.23;0.54;1.97;190.16;-1.94;-0.35;-0.05;0.58;0.02
19.94;9.18;211.48;-7.83;-4.79;-0.23;0.5;1.93;190.34;-1.9;-0.35;-0.05;0.6;0.02
19.87;9.14;211.56;-7.79;-4.78;-0.23;0.46;1.9;190.51;-1.87;-0.35;-0.05;0.61;0.03
19.81;9.1;211.63;-7.75;-4.77;-0.23;0.42;1.86;190.65;-1.83;-0.34;-0.05;0.62;0.04
19.75;9.06;211.68;-7.71;-4.76;-0.23;0.38;1.82;190.78;-1.79;-0.34;-0.05;0.63;0.04
19.69;9.02;211.72;-7.68;-4.75;-0.23;0.33;1.78;190.88;-1.75;-0.34;-0.05;0.64;0.05
19.63;8.98;211.75;-7.64;-4.73;-0.23;0.28;1.74;190.96;-1.71;-0.33;-0.05;0.64;0.05
19.58;8.94;211.76;-7.6;-4.71;-0.23;0.23;1.69;191.01;-1.66;-0.32;-0.05;0.65;0.06
19.54;8.9;211.75;-7.57;-4.68;-0.22;0.17;1.65;191.02;-1.62;-0.31;-0.04;0.65;0.06
19.5;8.85;211.73;-7.53;-4.66;-0.22;0.12;1.6;191.01;-1.57;-0.3;-0.04;0.65;0.07
19.46;8.8;211.69;-7.49;-4.62;-0.22;0.06;1.55;190.95;-1.52;-0.29;-0.04;0.65;0.07
19.43;8.75;211.63;-7.45;-4.59;-0.22;0.01;1.5;190.85;-1.47;-0.28;-0.04;0.64;0.08
19.4;8.7;211.55;-7.42;-4.55;-0.22;-0.05;1.44;190.7;-1.42;-0.27;-0.04;0.63;0.08
19.38;8.65;211.46;-7.38;-4.51;-0.22;-0.1;1.39;190.49;-1.37;-0.25;-0.04;0.62;0.09
19.36;8.6;211.34;-7.34;-4.47;-0.22;-0.16;1.34;190.22;-1.31;-0.24;-0.04;0.61;0.09
19.35;8.54;211.2;-7.3;-4.42;-0.22;-0.21;1.28;189.87;-1.26;-0.22;-0.04;0.59;0.09
19.34;8.48;211.04;-7.26;-4.37;-0.21;-0.27;1.23;189.44;-1.21;-0.2;-0.03;0.57;0.1
19.34;8.42;210.86;-7.23;-4.32;-0.21;-0.32;1.17;188.92;-1.16;-0.18;-0.03;0.55;0.1
19.35;8.36;210.66;-7.19;-4.26;-0.21;-0.37;1.12;188.28;-1.1;-0.16;-0.03;0.52;0.1
19.35;8.29;210.44;-7.15;-4.2;-0.21;-0.42;1.06;187.51;-1.05;-0.14;-0.03;0.49;0.1
19.37;8.22;210.19;-7.11;-4.14;-0.21;-0.46;1.01;186.6;-1;-0.12;-0.03;0.46;0.11
19.38;8.15;209.92;-7.07;-4.07;-0.21;-0.51;0.95;185.53;-0.95;-0.09;-0.03;0.43;0.11
19.41;8.08;209.64;-7.03;-4;-0.2;-0.55;0.9;184.27;-0.9;-0.07;-0.02;0.39;0.11
19.43;8.01;209.33;-6.98;-3.92;-0.2;-0.59;0.85;182.8;-0.85;-0.04;-0.02;0.36;0.11
19.47;7.94;208.99;-6.94;-3.85;-0.2;-0.62;0.81;181.08;-0.81;-0.02;-0.02;0.32;0.11
19.5;7.86;208.64;-6.9;-3.77;-0.2;-0.65;0.76;179.11;-0.76;0.01;-0.02;0.28;0.11
19.54;7.78;208.27;-6.85;-3.69;-0.2;-0.68;0.72;176.84;-0.72;0.04;-0.02;0.24;0.11
19.59;7.7;207.88;-6.81;-3.6;-0.19;-0.7;0.68;174.26;-0.67;0.07;-0.02;0.19;0.12
19.64;7.62;207.46;-6.77;-3.52;-0.19;-0.72;0.64;171.35;-0.63;0.1;-0.02;0.15;0.12
19.69;7.54;207.03;-6.72;-3.43;-0.19;-0.74;0.61;168.12;-0.6;0.13;-0.02;0.11;0.12
19.75;7.46;206.58;-6.67;-3.34;-0.19;-0.75;0.58;164.57;-0.56;0.15;-0.02;0.06;0.12
19.81;7.38;206.12;-6.63;-3.25;-0.19;-0.76;0.56;160.75;-0.53;0.18;-0.02;0.02;0.12
19.87;7.3;205.63;-6.58;-3.16;-0.18;-0.77;0.54;156.71;-0.5;0.21;-0.01;-0.02;0.12
19.94;7.21;205.14;-6.53;-3.06;-0.18;-0.77;0.53;152.55;-0.47;0.24;-0.01;-0.07;0.12
20.01;7.13;204.63;-6.48;-2.97;-0.18;-0.77;0.52;148.35;-0.44;0.27;-0.01;-0.11;0.11
20.08;7.05;204.1;-6.43;-2.88;-0.18;-0.76;0.52;144.23;-0.42;0.3;-0.01;-0.15;0.11
20.15;6.97;203.57;-6.39;-2.79;-0.18;-0.76;0.52;140.29;-0.4;0.33;-0.01;-0.18;0.11
20.23;6.89;203.02;-6.34;-2.69;-0.17;-0.75;0.52;136.61;-0.38;0.36;-0.01;-0.22;0.11
20.31;6.8;202.47;-6.29;-2.6;-0.17;-0.73;0.53;133.25;-0.37;0.39;-0.01;-0.25;0.11
20.39;6.73;201.91;-6.24;-2.51;-0.17;-0.72;0.55;130.24;-0.35;0.42;-0.01;-0.28;0.11
20.47;6.65;201.34;-6.19;-2.42;-0.17;-0.7;0.56;127.6;-0.34;0.44;-0.02;-0.31;0.11
20.55;6.57;200.78;-6.14;-2.33;-0.17;-0.67;0.58;125.33;-0.33;0.47;-0.02;-0.34;0.11
20.63;6.49;200.21;-6.09;-2.24;-0.16;-0.65;0.59;123.39;-0.33;0.5;-0.02;-0.36;0.11
20.72;6.42;199.64;-6.05;-2.16;-0.16;-0.63;0.61;121.78;-0.32;0.52;-0.02;-0.38;0.11
20.8;6.35;199.08;-6;-2.08;-0.16;-0.6;0.63;120.46;-0.32;0.55;-0.02;-0.39;0.1
20.88;6.28;198.52;-5.96;-2;-0.16;-0.57;0.65;119.4;-0.32;0.57;-0.02;-0.41;0.1
20.97;6.21;197.97;-5.91;-1.92;-0.16;-0.54;0.67;118.56;-0.32;0.59;-0.02;-0.42;0.1
21.05;6.15;197.43;-5.87;-1.84;-0.16;-0.51;0.69;117.93;-0.32;0.61;-0.02;-0.42;0.1
21.13;6.09;196.9;-5.82;-1.77;-0.15;-0.48;0.71;117.46;-0.33;0.63;-0.02;-0.42;0.1
21.22;6.03;196.39;-5.78;-1.7;-0.15;-0.45;0.73;117.14;-0.33;0.65;-0.02;-0.42;0.1
21.3;5.97;195.89;-5.74;-1.64;-0.15;-0.41;0.75;116.94;-0.34;0.67;-0.02;-0.42;0.1
21.38;5.92;195.42;-5.71;-1.57;-0.15;-0.38;0.77;116.85;-0.35;0.69;-0.02;-0.41;0.1
21.46;5.87;194.96;-5.67;-1.51;-0.15;-0.35;0.79;116.83;-0.36;0.7;-0.02;-0.4;0.09
21.53;5.82;194.53;-5.63;-1.46;-0.15;-0.32;0.81;116.89;-0.36;0.72;-0.02;-0.39;0.09
21.61;5.78;194.12;-5.6;-1.41;-0.15;-0.28;0.82;116.99;-0.37;0.73;-0.02;-0.38;0.09
21.68;5.73;193.74;-5.57;-1.36;-0.14;-0.25;0.84;117.13;-0.38;0.75;-0.02;-0.36;0.09
21.75;5.7;193.38;-5.54;-1.32;-0.14;-0.22;0.85;117.3;-0.39;0.76;-0.02;-0.34;0.09
21.82;5.66;193.06;-5.52;-1.28;-0.14;-0.19;0.87;117.48;-0.4;0.77;-0.02;-0.32;0.09
21.89;5.63;192.76;-5.49;-1.24;-0.14;-0.16;0.88;117.66;-0.41;0.78;-0.02;-0.29;0.09
21.95;5.6;192.5;-5.47;-1.21;-0.14;-0.14;0.89;117.84;-0.42;0.79;-0.02;-0.27;0.08
22.01;5.58;192.28;-5.45;-1.19;-0.14;-0.11;0.9;118.01;-0.42;0.8;-0.02;-0.24;0.08
22.07;5.56;192.08;-5.44;-1.16;-0.14;-0.09;0.91;118.16;-0.43;0.8;-0.02;-0.22;0.08
22.13;5.54;191.92;-5.42;-1.14;-0.14;-0.07;0.92;118.28;-0.44;0.81;-0.03;-0.19;0.08
22.18;5.53;191.8;-5.41;-1.13;-0.14;-0.04;0.93;118.37;-0.44;0.82;-0.03;-0.16;0.08
22.23;5.52;191.71;-5.4;-1.12;-0.14;-0.02;0.93;118.42;-0.44;0.82;-0.03;-0.13;0.08
22.28;5.51;191.66;-5.4;-1.11;-0.14;-0.01;0.94;118.43;-0.45;0.83;-0.03;-0.11;0.08
22.33;5.51;191.64;-5.4;-1.11;-0.14;0.01;0.94;118.39;-0.45;0.83;-0.03;-0.08;0.08
22.37;5.51;191.65;-5.4;-1.11;-0.14;0.02;0.95;118.31;-0.45;0.83;-0.03;-0.05;0.07
22.41;5.52;191.7;-5.4;-1.12;-0.14;0.03;0.95;118.18;-0.45;0.84;-0.03;-0.03;0.07
22.45;5.53;191.79;-5.41;-1.13;-0.14;0.04;0.95;117.99;-0.45;0.84;-0.03;0;0.07
22.49;5.54;191.9;-5.42;-1.14;-0.14;0.05;0.95;117.75;-0.44;0.84;-0.03;0.02;0.07
22.52;5.56;192.05;-5.44;-1.16;-0.14;0.06;0.96;117.46;-0.44;0.85;-0.03;0.04;0.07
22.55;5.58;192.22;-5.45;-1.18;-0.14;0.06;0.96;117.11;-0.44;0.85;-0.03;0.06;0.07
22.58;5.61;192.42;-5.47;-1.21;-0.14;0.06;0.96;116.71;-0.43;0.85;-0.03;0.07;0.07
22.6;5.64;192.65;-5.5;-1.23;-0.14;0.06;0.95;116.27;-0.42;0.86;-0.03;0.09;0.07
22.62;5.67;192.9;-5.53;-1.27;-0.14;0.06;0.95;115.78;-0.41;0.86;-0.03;0.1;0.07
22.64;5.71;193.17;-5.56;-1.3;-0.14;0.06;0.95;115.24;-0.41;0.86;-0.03;0.11;0.07
22.66;5.75;193.46;-5.59;-1.34;-0.15;0.05;0.95;114.67;-0.4;0.86;-0.03;0.12;0.06
22.68;5.8;193.77;-5.63;-1.38;-0.15;0.04;0.95;114.06;-0.39;0.87;-0.03;0.12;0.06
22.69;5.85;194.09;-5.67;-1.42;-0.15;0.03;0.95;113.43;-0.38;0.87;-0.03;0.12;0.06
22.7;5.9;194.42;-5.72;-1.47;-0.15;0.02;0.95;112.77;-0.37;0.87;-0.03;0.12;0.06
22.71;5.96;194.76;-5.76;-1.52;-0.15;0.01;0.95;112.1;-0.36;0.88;-0.03;0.12;0.06
22.72;6.02;195.11;-5.82;-1.57;-0.15;0;0.95;111.42;-0.35;0.88;-0.03;0.12;0.06
22.73;6.09;195.47;-5.87;-1.62;-0.15;-0.02;0.95;110.74;-0.33;0.88;-0.03;0.11;0.06
22.73;6.16;195.82;-5.93;-1.68;-0.16;-0.03;0.95;110.07;-0.32;0.89;-0.03;0.11;0.06
22.73;6.23;196.18;-5.99;-1.74;-0.16;-0.05;0.95;109.42;-0.31;0.89;-0.03;0.1;0.06
22.73;6.31;196.54;-6.05;-1.8;-0.16;-0.07;0.95;108.78;-0.3;0.9;-0.03;0.09;0.06
22.73;6.39;196.9;-6.11;-1.86;-0.16;-0.08;0.95;108.18;-0.3;0.9;-0.03;0.08;0.06
22.73;6.47;197.25;-6.18;-1.92;-0.16;-0.1;0.95;107.61;-0.29;0.9;-0.03;0.07;0.06
22.73;6.55;197.59;-6.25;-1.98;-0.17;-0.12;0.95;107.08;-0.28;0.91;-0.03;0.06;0.06
22.73;6.64;197.93;-6.32;-2.04;-0.17;-0.13;0.95;106.59;-0.27;0.91;-0.03;0.05;0.06
22.73;6.73;198.26;-6.39;-2.11;-0.17;-0.15;0.95;106.15;-0.26;0.91;-0.03;0.04;0.06
22.72;6.81;198.58;-6.46;-2.17;-0.17;-0.16;0.95;105.76;-0.26;0.92;-0.03;0.03;0.06
22.72;6.9;198.89;-6.53;-2.23;-0.17;-0.18;0.96;105.43;-0.25;0.92;-0.03;0.02;0.06
22.71;7;199.19;-6.61;-2.3;-0.18;-0.19;0.96;105.15;-0.25;0.92;-0.03;0.01;0.06
22.71;7.09;199.47;-6.68;-2.36;-0.18;-0.2;0.96;104.93;-0.25;0.93;-0.03;0;0.06
22.7;7.18;199.75;-6.76;-2.43;-0.18;-0.21;0.96;104.76;-0.24;0.93;-0.03;0;0.06
22.69;7.27;200.01;-6.83;-2.49;-0.18;-0.22;0.96;104.65;-0.24;0.93;-0.03;-0.01;0.06
22.69;7.36;200.26;-6.9;-2.55;-0.19;-0.23;0.96;104.59;-0.24;0.93;-0.03;-0.01;0.06
22.68;7.45;200.49;-6.98;-2.61;-0.19;-0.24;0.96;104.58;-0.24;0.93;-0.03;-0.02;0.06
22.68;7.54;200.71;-7.05;-2.66;-0.19;-0.25;0.96;104.62;-0.24;0.93;-0.03;-0.02;0.06
22.67;7.62;200.92;-7.12;-2.72;-0.19;-0.25;0.96;104.71;-0.24;0.93;-0.03;-0.02;0.06
22.67;7.7;201.11;-7.19;-2.77;-0.19;-0.25;0.96;104.83;-0.25;0.93;-0.03;-0.02;0.06
22.67;7.78;201.28;-7.25;-2.83;-0.2;-0.25;0.96;104.98;-0.25;0.93;-0.03;-0.02;0.06
22.66;7.86;201.45;-7.32;-2.87;-0.2;-0.25;0.96;105.16;-0.25;0.93;-0.03;-0.02;0.06
22.66;7.93;201.6;-7.38;-2.92;-0.2;-0.25;0.96;105.37;-0.25;0.93;-0.03;-0.01;0.06
22.66;8;201.73;-7.43;-2.96;-0.2;-0.24;0.96;105.6;-0.26;0.92;-0.03;-0.01;0.06
22.66;8.07;201.85;-7.49;-3;-0.2;-0.23;0.96;105.83;-0.26;0.92;-0.03;0;0.06
22.66;8.12;201.96;-7.54;-3.04;-0.2;-0.22;0.96;106.07;-0.26;0.92;-0.03;0.01;0.06
22.66;8.18;202.05;-7.58;-3.07;-0.21;-0.21;0.95;106.31;-0.27;0.91;-0.03;0.02;0.06
22.66;8.23;202.13;-7.62;-3.1;-0.21;-0.2;0.95;106.54;-0.27;0.91;-0.03;0.02;0.06
22.67;8.27;202.19;-7.66;-3.12;-0.21;-0.19;0.95;106.75;-0.27;0.91;-0.03;0.03;0.06
22.67;8.31;202.24;-7.69;-3.15;-0.21;-0.17;0.94;106.94;-0.27;0.9;-0.03;0.04;0.06
22.68;8.34;202.28;-7.72;-3.16;-0.21;-0.15;0.94;107.11;-0.28;0.9;-0.03;0.05;0.06
22.68;8.36;202.31;-7.74;-3.17;-0.21;-0.13;0.94;107.23;-0.28;0.89;-0.03;0.06;0.06
22.69;8.38;202.32;-7.76;-3.18;-0.21;-0.12;0.93;107.32;-0.28;0.89;-0.03;0.07;0.06
22.7;8.4;202.32;-7.77;-3.19;-0.21;-0.09;0.93;107.37;-0.28;0.89;-0.03;0.08;0.06
22.71;8.4;202.3;-7.77;-3.19;-0.21;-0.07;0.93;107.36;-0.28;0.88;-0.03;0.08;0.06
22.73;8.4;202.28;-7.77;-3.18;-0.21;-0.05;0.92;107.3;-0.27;0.88;-0.03;0.09;0.06
22.74;8.39;202.24;-7.77;-3.18;-0.21;-0.03;0.92;107.18;-0.27;0.88;-0.03;0.1;0.06
22.76;8.38;202.19;-7.76;-3.16;-0.21;-0.01;0.92;107;-0.27;0.88;-0.03;0.1;0.06
22.78;8.36;202.13;-7.74;-3.15;-0.21;0.01;0.91;106.75;-0.26;0.88;-0.02;0.1;0.05
22.8;8.33;202.05;-7.72;-3.13;-0.21;0.04;0.91;106.45;-0.26;0.87;-0.02;0.1;0.05
22.82;8.3;201.96;-7.69;-3.1;-0.21;0.06;0.91;106.09;-0.25;0.87;-0.02;0.1;0.05
22.84;8.26;201.87;-7.66;-3.08;-0.21;0.08;0.91;105.66;-0.25;0.88;-0.02;0.1;0.05
22.86;8.21;201.76;-7.63;-3.04;-0.21;0.1;0.91;105.18;-0.24;0.88;-0.02;0.09;0.05
22.89;8.16;201.64;-7.59;-3.01;-0.21;0.12;0.91;104.66;-0.23;0.88;-0.02;0.08;0.05
22.91;8.11;201.51;-7.54;-2.97;-0.2;0.14;0.91;104.09;-0.22;0.88;-0.02;0.07;0.05
22.94;8.05;201.37;-7.49;-2.93;-0.2;0.16;0.91;103.49;-0.21;0.89;-0.02;0.05;0.05
22.97;7.98;201.22;-7.44;-2.89;-0.2;0.18;0.92;102.86;-0.2;0.89;-0.03;0.04;0.05
23;7.92;201.06;-7.39;-2.84;-0.2;0.19;0.92;102.23;-0.2;0.9;-0.03;0.02;0.05
23.04;7.84;200.89;-7.33;-2.8;-0.2;0.21;0.93;101.59;-0.19;0.91;-0.03;0;0.05
23.07;7.77;200.71;-7.27;-2.75;-0.2;0.22;0.93;100.97;-0.18;0.92;-0.03;-0.03;0.05
23.11;7.69;200.53;-7.2;-2.7;-0.19;0.24;0.94;100.37;-0.17;0.93;-0.03;-0.05;0.05
23.15;7.61;200.33;-7.14;-2.64;-0.19;0.25;0.95;99.809;-0.16;0.94;-0.03;-0.08;0.05
23.18;7.53;200.14;-7.07;-2.59;-0.19;0.26;0.96;99.301;-0.16;0.95;-0.03;-0.12;0.05
23.22;7.45;199.93;-7;-2.54;-0.19;0.28;0.97;98.856;-0.15;0.96;-0.03;-0.15;0.05
23.27;7.36;199.72;-6.93;-2.49;-0.19;0.29;0.99;98.486;-0.15;0.97;-0.03;-0.18;0.05
23.31;7.28;199.51;-6.86;-2.43;-0.18;0.3;1;98.201;-0.14;0.99;-0.03;-0.22;0.05
23.35;7.2;199.3;-6.79;-2.38;-0.18;0.3;1.01;98.01;-0.14;1;-0.03;-0.26;0.05
23.4;7.11;199.09;-6.72;-2.33;-0.18;0.31;1.03;97.922;-0.14;1.02;-0.03;-0.3;0.05
23.44;7.03;198.88;-6.65;-2.27;-0.18;0.32;1.04;97.944;-0.14;1.03;-0.03;-0.34;0.05
23.49;6.95;198.67;-6.58;-2.22;-0.18;0.33;1.06;98.08;-0.15;1.05;-0.03;-0.38;0.04
23.54;6.87;198.47;-6.51;-2.18;-0.17;0.33;1.07;98.336;-0.16;1.06;-0.03;-0.42;0.04
23.59;6.79;198.27;-6.45;-2.13;-0.17;0.34;1.09;98.713;-0.17;1.08;-0.03;-0.46;0.04
23.64;6.72;198.08;-6.38;-2.08;-0.17;0.34;1.11;99.215;-0.18;1.09;-0.03;-0.5;0.04
23.69;6.64;197.9;-6.32;-2.04;-0.17;0.34;1.12;99.841;-0.19;1.11;-0.03;-0.54;0.04
23.74;6.57;197.73;-6.26;-2;-0.17;0.35;1.14;100.59;-0.21;1.12;-0.03;-0.58;0.04
23.79;6.51;197.57;-6.2;-1.96;-0.16;0.35;1.16;101.47;-0.23;1.13;-0.03;-0.62;0.04
23.84;6.45;197.42;-6.15;-1.93;-0.16;0.35;1.17;102.46;-0.25;1.15;-0.03;-0.65;0.04
23.89;6.39;197.3;-6.1;-1.9;-0.16;0.36;1.19;103.57;-0.28;1.16;-0.03;-0.68;0.04
23.94;6.33;197.18;-6.05;-1.87;-0.16;0.36;1.21;104.79;-0.31;1.17;-0.03;-0.71;0.04
23.99;6.28;197.09;-6;-1.85;-0.16;0.36;1.23;106.12;-0.34;1.18;-0.03;-0.74;0.04
24.05;6.23;197.02;-5.96;-1.82;-0.16;0.36;1.24;107.55;-0.38;1.19;-0.03;-0.76;0.04
24.1;6.19;196.97;-5.92;-1.81;-0.16;0.36;1.26;109.07;-0.41;1.19;-0.03;-0.78;0.04
24.15;6.15;196.93;-5.89;-1.79;-0.16;0.36;1.28;110.68;-0.45;1.2;-0.04;-0.8;0.04
24.2;6.12;196.93;-5.86;-1.78;-0.15;0.36;1.3;112.36;-0.49;1.2;-0.04;-0.81;0.04
24.25;6.09;196.94;-5.83;-1.78;-0.15;0.37;1.32;114.1;-0.54;1.21;-0.04;-0.81;0.04
24.29;6.07;196.98;-5.8;-1.77;-0.15;0.37;1.34;115.89;-0.59;1.21;-0.04;-0.81;0.04
24.34;6.05;197.04;-5.78;-1.77;-0.15;0.37;1.36;117.73;-0.63;1.21;-0.04;-0.81;0.05
24.39;6.03;197.12;-5.76;-1.78;-0.15;0.37;1.38;119.6;-0.68;1.2;-0.04;-0.8;0.05
24.43;6.02;197.22;-5.75;-1.78;-0.15;0.37;1.41;121.49;-0.73;1.2;-0.04;-0.79;0.05
24.47;6.01;197.35;-5.74;-1.79;-0.15;0.37;1.43;123.38;-0.79;1.19;-0.04;-0.77;0.05
24.51;6.01;197.49;-5.73;-1.81;-0.15;0.37;1.45;125.28;-0.84;1.18;-0.04;-0.75;0.05
24.55;6.01;197.66;-5.73;-1.82;-0.15;0.38;1.47;127.16;-0.89;1.18;-0.04;-0.72;0.05
24.59;6.01;197.84;-5.72;-1.84;-0.15;0.38;1.5;129.02;-0.94;1.16;-0.04;-0.69;0.05
24.62;6.02;198.04;-5.72;-1.86;-0.15;0.38;1.52;130.85;-1;1.15;-0.04;-0.65;0.05
24.65;6.03;198.26;-5.73;-1.89;-0.15;0.38;1.55;132.63;-1.05;1.14;-0.04;-0.61;0.05
24.68;6.04;198.49;-5.73;-1.92;-0.15;0.38;1.57;134.38;-1.1;1.12;-0.04;-0.56;0.05
24.71;6.06;198.73;-5.74;-1.95;-0.15;0.38;1.59;136.07;-1.15;1.11;-0.04;-0.51;0.05
24.73;6.08;198.98;-5.75;-1.98;-0.15;0.38;1.62;137.7;-1.2;1.09;-0.04;-0.46;0.05
24.75;6.1;199.24;-5.76;-2.01;-0.15;0.38;1.64;139.27;-1.24;1.07;-0.04;-0.41;0.05
24.77;6.12;199.51;-5.77;-2.04;-0.15;0.38;1.66;140.77;-1.28;1.05;-0.05;-0.35;0.05
24.79;6.15;199.78;-5.79;-2.08;-0.16;0.37;1.68;142.21;-1.33;1.03;-0.05;-0.29;0.05
24.8;6.17;200.05;-5.8;-2.12;-0.16;0.37;1.7;143.57;-1.36;1.01;-0.05;-0.23;0.05
24.81;6.2;200.32;-5.82;-2.15;-0.16;0.37;1.71;144.86;-1.4;0.98;-0.05;-0.16;0.05
24.81;6.23;200.6;-5.83;-2.19;-0.16;0.36;1.72;146.08;-1.43;0.96;-0.05;-0.1;0.05
24.82;6.26;200.87;-5.85;-2.23;-0.16;0.36;1.74;147.22;-1.46;0.94;-0.05;-0.03;0.05
24.82;6.29;201.14;-5.87;-2.27;-0.16;0.35;1.74;148.29;-1.48;0.92;-0.05;0.04;0.05
24.81;6.32;201.4;-5.89;-2.31;-0.16;0.34;1.75;149.28;-1.5;0.89;-0.05;0.1;0.05
24.8;6.35;201.65;-5.9;-2.34;-0.16;0.33;1.75;150.19;-1.52;0.87;-0.05;0.17;0.05
24.79;6.38;201.9;-5.92;-2.38;-0.16;0.32;1.75;151.02;-1.53;0.85;-0.05;0.24;0.05
24.78;6.41;202.14;-5.94;-2.42;-0.16;0.31;1.75;151.78;-1.54;0.83;-0.05;0.3;0.05
24.76;6.44;202.37;-5.95;-2.45;-0.16;0.3;1.74;152.45;-1.55;0.81;-0.05;0.37;0.05
24.74;6.47;202.59;-5.97;-2.48;-0.16;0.29;1.73;153.05;-1.54;0.79;-0.05;0.43;0.05
24.72;6.49;202.8;-5.98;-2.52;-0.16;0.28;1.72;153.57;-1.54;0.77;-0.05;0.49;0.05
24.7;6.52;203;-6;-2.55;-0.16;0.27;1.7;154;-1.53;0.75;-0.05;0.55;0.05
24.67;6.54;203.18;-6.01;-2.57;-0.16;0.25;1.68;154.35;-1.52;0.73;-0.05;0.61;0.05
24.64;6.56;203.36;-6.02;-2.6;-0.17;0.24;1.66;154.61;-1.5;0.71;-0.05;0.66;0.05
